YEAR;MONTH;DAY_OF_WEEK;FL_DATE;ORIGIN_AIRPORT_ID;ORIGIN_AIRPORT_SEQ_ID;ORIGIN_CITY_MARKET_ID;ORIGIN;ORIGIN_CITY_NAME;DEST_AIRPORT_ID;DEST_AIRPORT_SEQ_ID;DEST_CITY_MARKET_ID;DEST;DEST_CITY_NAME;DEP_DELAY_NEW;ARR_DELAY_NEW;CANCELLED;AIR_TIME;DISTANCE;CARRIER_DELAY;WEATHER_DELAY;NAS_DELAY;SECURITY_DELAY;LATE_AIRCRAFT_DELAY
2020;1;3;1/01/20;14057;1405702;34057;PDX;Portland, OR;12889;1288903;32211;LAS;Las Vegas, NV;37.00;12.00;0.00;86.00;763.00;;;;;
2020;1;3;1/01/20;14057;1405702;34057;PDX;Portland, OR;12889;1288903;32211;LAS;Las Vegas, NV;9.00;0.00;0.00;90.00;763.00;;;;;
2020;1;3;1/01/20;14057;1405702;34057;PDX;Portland, OR;12889;1288903;32211;LAS;Las Vegas, NV;;;1.00;;763.00;;;;;
2020;1;3;1/01/20;14057;1405702;34057;PDX;Portland, OR;12892;1289208;32575;LAX;Los Angeles, CA;24.00;0.00;0.00;99.00;834.00;;;;;
2020;1;3;1/01/20;14057;1405702;34057;PDX;Portland, OR;12892;1289208;32575;LAX;Los Angeles, CA;11.00;0.00;0.00;105.00;834.00;;;;;
2020;1;3;1/01/20;14057;1405702;34057;PDX;Portland, OR;13232;1323202;30977;MDW;Chicago, IL;0.00;;0.00;;1751.00;;;;;
2020;1;3;1/01/20;14057;1405702;34057;PDX;Portland, OR;13232;1323202;30977;MDW;Chicago, IL;25.00;13.00;0.00;210.00;1751.00;;;;;
2020;1;3;1/01/20;14057;1405702;34057;PDX;Portland, OR;13796;1379608;32457;OAK;Oakland, CA;0.00;0.00;0.00;74.00;543.00;;;;;
2020;1;3;1/01/20;14057;1405702;34057;PDX;Portland, OR;13796;1379608;32457;OAK;Oakland, CA;2.00;0.00;0.00;72.00;543.00;;;;;
2020;1;3;1/01/20;14057;1405702;34057;PDX;Portland, OR;13796;1379608;32457;OAK;Oakland, CA;0.00;0.00;0.00;71.00;543.00;;;;;
2020;1;3;1/01/20;14057;1405702;34057;PDX;Portland, OR;13796;1379608;32457;OAK;Oakland, CA;22.00;0.00;0.00;70.00;543.00;;;;;
2020;1;3;1/01/20;14057;1405702;34057;PDX;Portland, OR;13891;1389101;32575;ONT;Ontario, CA;14.00;0.00;0.00;91.00;838.00;;;;;
2020;1;3;1/01/20;14057;1405702;34057;PDX;Portland, OR;14107;1410702;30466;PHX;Phoenix, AZ;0.00;0.00;0.00;120.00;1009.00;;;;;
2020;1;3;1/01/20;14057;1405702;34057;PDX;Portland, OR;14107;1410702;30466;PHX;Phoenix, AZ;0.00;0.00;0.00;118.00;1009.00;;;;;
2020;1;3;1/01/20;14057;1405702;34057;PDX;Portland, OR;14679;1467903;33570;SAN;San Diego, CA;32.00;14.00;0.00;109.00;933.00;;;;;
2020;1;3;1/01/20;14057;1405702;34057;PDX;Portland, OR;14679;1467903;33570;SAN;San Diego, CA;4.00;0.00;0.00;105.00;933.00;;;;;
2020;1;3;1/01/20;14057;1405702;34057;PDX;Portland, OR;14831;1483106;32457;SJC;San Jose, CA;0.00;0.00;0.00;77.00;569.00;;;;;
2020;1;3;1/01/20;14057;1405702;34057;PDX;Portland, OR;14831;1483106;32457;SJC;San Jose, CA;7.00;0.00;0.00;80.00;569.00;;;;;
2020;1;3;1/01/20;14057;1405702;34057;PDX;Portland, OR;14831;1483106;32457;SJC;San Jose, CA;0.00;0.00;0.00;74.00;569.00;;;;;
2020;1;3;1/01/20;14057;1405702;34057;PDX;Portland, OR;14831;1483106;32457;SJC;San Jose, CA;0.00;0.00;0.00;74.00;569.00;;;;;
2020;1;3;1/01/20;14057;1405702;34057;PDX;Portland, OR;14893;1489302;33192;SMF;Sacramento, CA;0.00;0.00;0.00;60.00;479.00;;;;;
2020;1;3;1/01/20;14057;1405702;34057;PDX;Portland, OR;14893;1489302;33192;SMF;Sacramento, CA;30.00;14.00;0.00;62.00;479.00;;;;;
2020;1;3;1/01/20;14057;1405702;34057;PDX;Portland, OR;14893;1489302;33192;SMF;Sacramento, CA;4.00;0.00;0.00;61.00;479.00;;;;;
2020;1;3;1/01/20;14057;1405702;34057;PDX;Portland, OR;14893;1489302;33192;SMF;Sacramento, CA;0.00;0.00;0.00;62.00;479.00;;;;;
2020;1;3;1/01/20;14057;1405702;34057;PDX;Portland, OR;14893;1489302;33192;SMF;Sacramento, CA;17.00;18.00;0.00;60.00;479.00;17.00;0.00;1.00;0.00;0.00
2020;1;3;1/01/20;14057;1405702;34057;PDX;Portland, OR;15016;1501606;31123;STL;St. Louis, MO;0.00;0.00;0.00;192.00;1708.00;;;;;
2020;1;3;1/01/20;14100;1410005;34100;PHL;Philadelphia, PA;10397;1039707;30397;ATL;Atlanta, GA;1.00;0.00;0.00;103.00;666.00;;;;;
2020;1;3;1/01/20;14100;1410005;34100;PHL;Philadelphia, PA;10397;1039707;30397;ATL;Atlanta, GA;0.00;0.00;0.00;112.00;666.00;;;;;
2020;1;3;1/01/20;14100;1410005;34100;PHL;Philadelphia, PA;10693;1069302;30693;BNA;Nashville, TN;0.00;0.00;0.00;113.00;675.00;;;;;
2020;1;3;1/01/20;14100;1410005;34100;PHL;Philadelphia, PA;10693;1069302;30693;BNA;Nashville, TN;51.00;38.00;0.00;107.00;675.00;3.00;0.00;0.00;0.00;35.00
2020;1;3;1/01/20;14100;1410005;34100;PHL;Philadelphia, PA;10693;1069302;30693;BNA;Nashville, TN;0.00;0.00;0.00;108.00;675.00;;;;;
2020;1;3;1/01/20;14100;1410005;34100;PHL;Philadelphia, PA;11259;1125904;30194;DAL;Dallas, TX;0.00;14.00;0.00;224.00;1295.00;;;;;
2020;1;3;1/01/20;14100;1410005;34100;PHL;Philadelphia, PA;11292;1129202;30325;DEN;Denver, CO;4.00;0.00;0.00;220.00;1558.00;;;;;
2020;1;3;1/01/20;14100;1410005;34100;PHL;Philadelphia, PA;11292;1129202;30325;DEN;Denver, CO;1.00;0.00;0.00;223.00;1558.00;;;;;
2020;1;3;1/01/20;14100;1410005;34100;PHL;Philadelphia, PA;11292;1129202;30325;DEN;Denver, CO;1.00;0.00;0.00;218.00;1558.00;;;;;
