YEAR;MONTH;DAY_OF_WEEK;FL_DATE;ORIGIN_AIRPORT_ID;ORIGIN_AIRPORT_SEQ_ID;ORIGIN_CITY_MARKET_ID;ORIGIN;ORIGIN_CITY_NAME;DEST_AIRPORT_ID;DEST_AIRPORT_SEQ_ID;DEST_CITY_MARKET_ID;DEST;DEST_CITY_NAME;DEP_DELAY_NEW;ARR_DELAY_NEW;CANCELLED;AIR_TIME;DISTANCE;CARRIER_DELAY;WEATHER_DELAY;NAS_DELAY;SECURITY_DELAY;LATE_AIRCRAFT_DELAY
2020;1;3;1/01/20;14057;1405702;34057;PDX;Portland, OR;13232;1323202;30977;MDW;Chicago, IL;25;13;0;210;1751;;;;;
2020;1;3;1/01/20;14057;1405702;34057;PDX;Portland, OR;13796;1379608;32457;OAK;Oakland, CA;0;0;0;74;543;;;;;
2020;1;3;1/01/20;14057;1405702;34057;PDX;Portland, OR;13796;1379608;32457;OAK;Oakland, CA;2;0;0;72;543;;;;;
2020;1;3;1/01/20;14057;1405702;34057;PDX;Portland, OR;13796;1379608;32457;OAK;Oakland, CA;0;0;0;71;543;;;;;
2020;1;3;1/01/20;14057;1405702;34057;PDX;Portland, OR;13796;1379608;32457;OAK;Oakland, CA;22;0;0;70;543;;;;;
2020;1;3;1/01/20;14057;1405702;34057;PDX;Portland, OR;13891;1389101;32575;ONT;Ontario, CA;14;0;0;91;838;;;;;
2020;1;3;1/01/20;14057;1405702;34057;PDX;Portland, OR;14107;1410702;30466;PHX;Phoenix, AZ;0;0;0;120;1009;;;;;
2020;1;3;1/01/20;14057;1405702;34057;PDX;Portland, OR;14107;1410702;30466;PHX;Phoenix, AZ;0;0;0;118;1009;;;;;
2020;1;3;1/01/20;14057;1405702;34057;PDX;Portland, OR;14679;1467903;33570;SAN;San Diego, CA;32;14;0;109;933;;;;;
2020;1;3;1/01/20;14057;1405702;34057;PDX;Portland, OR;14679;1467903;33570;SAN;San Diego, CA;4;0;0;105;933;;;;;
2020;1;3;1/01/20;14057;1405702;34057;PDX;Portland, OR;14831;1483106;32457;SJC;San Jose, CA;0;0;0;77;569;;;;;
2020;1;3;1/01/20;14057;1405702;34057;PDX;Portland, OR;14831;1483106;32457;SJC;San Jose, CA;7;0;0;80;569;;;;;
2020;1;3;1/01/20;14057;1405702;34057;PDX;Portland, OR;14831;1483106;32457;SJC;San Jose, CA;0;0;0;74;569;;;;;
2020;1;3;1/01/20;14057;1405702;34057;PDX;Portland, OR;14831;1483106;32457;SJC;San Jose, CA;0;0;0;74;569;;;;;
2020;1;3;1/01/20;14057;1405702;34057;PDX;Portland, OR;14893;1489302;33192;SMF;Sacramento, CA;0;0;0;60;479;;;;;
2020;1;3;1/01/20;14057;1405702;34057;PDX;Portland, OR;14893;1489302;33192;SMF;Sacramento, CA;30;14;0;62;479;;;;;
2020;1;3;1/01/20;14057;1405702;34057;PDX;Portland, OR;14893;1489302;33192;SMF;Sacramento, CA;4;0;0;61;479;;;;;
